1992,3,11,1992.193,173,41,132,7.5,3.7,6.5,20,-1,-1,1
1992,3,12,1992.195,177,37,140,3.5,1.6,3.1,9,-1,-1,1
1992,3,13,1992.198,195,33,162,13.9,5.7,12.7,21,-1,-1,1
1992,3,14,1992.201,184,30,154,11.7,4.7,10.7,24,-1,-1,1
1992,3,15,1992.204,156,24,132,8.6,3.4,7.9,11,-1,-1,1
1992,3,16,1992.206,151,27,124,5.3,2.2,4.8,11,-1,-1,1
1992,3,17,1992.209,120,35,85,7.0,3.8,5.9,13,-1,-1,1
1992,3,18,1992.212,106,28,78,5.8,3.0,5.0,18,-1,-1,1
1992,3,19,1992.214,110,45,65,6.9,4.4,5.3,22,-1,-1,1
1992,3,20,1992.217,124,63,61,3.6,2.6,2.5,16,-1,-1,1
1992,3,21,1992.220,129,69,60,9.5,7.0,6.5,17,-1,-1,1
1992,3,22,1992.223,127,65,62,9.2,6.6,6.4,22,-1,-1,1
1992,3,23,1992.225,130,81,49,15.6,12.3,9.6,13,-1,-1,1
1992,3,24,1992.228,154,106,48,6.5,5.4,3.6,18,-1,-1,1
1992,3,25,1992.231,168,103,65,11.0,8.6,6.8,16,-1,-1,1
1992,3,26,1992.234,164,81,83,11.0,7.7,7.8,10,-1,-1,1
1992,3,27,1992.236,157,72,85,11.2,7.6,8.2,12,-1,-1,1
1992,3,28,1992.239,156,74,82,9.7,6.7,7.0,22,-1,-1,1
1992,3,29,1992.242,171,65,106,12.5,7.7,9.8,18,-1,-1,1
1992,3,30,1992.245,151,49,102,8.1,4.6,6.6,21,-1,-1,1
1992,3,31,1992.247,157,48,109,9.2,5.1,7.7,21,-1,-1,1
1992,4,1,1992.250,147,41,106,9.1,4.8,7.7,16,-1,-1,1
1992,4,2,1992.253,135,48,87,7.1,4.2,5.7,21,-1,-1,1
1992,4,3,1992.255,125,48,77,6.7,4.2,5.3,23,-1,-1,1
1992,4,4,1992.258,91,41,50,4.5,3.0,3.3,22,-1,-1,1
1992,4,5,1992.261,71,21,50,7.7,4.2,6.4,21,-1,-1,1
1992,4,6,1992.264,86,20,66,5.5,2.7,4.8,20,-1,-1,1
1992,4,7,1992.266,91,18,73,4.5,2.0,4.0,20,-1,-1,1
1992,4,8,1992.269,81,0,81,6.9,0.8,6.9,22,-1,-1,1
1992,4,9,1992.272,83,0,83,5.8,0.6,5.8,24,-1,-1,1
1992,4,10,1992.275,77,13,64,5.9,2.4,5.4,21,-1,-1,1
1992,4,11,1992.277,88,13,75,6.3,2.4,5.8,18,-1,-1,1
1992,4,12,1992.280,94,14,80,5.9,2.3,5.4,21,-1,-1,1
1992,4,13,1992.283,97,26,71,5.3,2.7,4.5,20,-1,-1,1
1992,4,14,1992.286,107,37,70,6.2,3.6,5.0,21,-1,-1,1
1992,4,15,1992.288,117,39,78,7.1,4.1,5.8,17,-1,-1,1
1992,4,16,1992.291,138,34,104,6.7,3.3,5.8,22,-1,-1,1
1992,4,17,1992.294,167,41,126,8.4,4.2,7.3,19,-1,-1,1
1992,4,18,1992.296,184,37,147,10.6,4.8,9.5,21,-1,-1,1
1992,4,19,1992.299,198,43,155,11.9,5.5,10.5,21,-1,-1,1
1992,4,20,1992.302,232,46,186,13.7,6.1,12.3,28,-1,-1,1
1992,4,21,1992.305,251,37,214,14.2,5.5,13.1,28,-1,-1,1
1992,4,22,1992.307,244,37,207,19.2,7.5,17.7,19,-1,-1,1
1992,4,23,1992.310,237,46,191,13.4,5.9,12.0,26,-1,-1,1
1992,4,24,1992.313,208,54,154,13.3,6.8,11.4,25,-1,-1,1
