,,,,Freq,uencies,of Kp,Indices,2016,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Kp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,,,,,,,,,,,
,,,,,,,,,,,,
0o,13,12,8,16,7,2,5,11,14,13,22,23
+,24,19,16,30,16,27,21,23,13,13,27,29
,,,,,,,,,,,,
-,23,25,17,23,15,35,27,26,25,14,24,28
1o,31,31,20,32,30,25,25,25,21,18,20,20
+,20,19,30,26,21,29,30,27,18,14,13,21
,,,,,,,,,,,,
-,26,22,31,19,22,30,23,28,14,12,20,11
2o,20,24,27,19,24,27,18,14,10,26,26,21
+,28,20,18,12,36,16,24,11,18,18,19,10
,,,,,,,,,,,,
-,17,12,25,16,17,11,25,24,8,21,16,20
3o,11,10,13,9,18,13,14,16,19,22,17,16
+,10,9,16,9,13,6,12,16,14,22,8,21
,,,,,,,,,,,,
-,5,7,10,7,9,8,9,10,16,14,14,7
4o,7,4,3,10,5,2,6,6,13,8,3,13
+,3,6,2,3,1,2,4,3,16,7,6,3
,,,,,,,,,,,,
-,5,5,5,4,4,3,3,3,7,10,3,4
5o,1,4,3,4,1,.,2,4,8,6,1,.
+,2,2,2,.,1,3,,1,2,2,1,.
,,,,,,,,,,,,
-,1,1,.,1,4,.,,,3,3,,.
6o,1,,1,,1,.,,,1,1,,1
+,,,1,,3,1,,,,4,,
,,,,,,,,,,,,
-,,,,,,,,,,,,
7o,,,,,,,,,,,,
+,,,,,,,,,,,,
,,,,,,,,,,,,
-,,,,,,,,,,,,
8o,,,,,,,,,,,,
+,,,,,,,,,,,,
,,,,,,,,,,,,
-,,,,,,,,,,,,
9o,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,248,232,248,240,248,240,248,248,240,248,240,248
