,,,,Freq,uencies,of Kp,Indices,2017,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Kp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,,,,,,,,,,,
,,,,,,,,,,,,
0o,16,15,20,2,12,9,5,7,8,24,20,30
+,20,16,21,21,31,41,36,22,14,32,18,30
,,,,,,,,,,,,
-,18,23,24,24,29,42,43,26,12,20,21,31
1o,21,13,18,21,38,36,31,30,14,19,29,24
+,12,18,15,30,29,21,24,25,13,25,22,24
,,,,,,,,,,,,
-,23,23,11,12,27,23,19,23,17,25,20,20
2o,31,17,11,24,18,25,14,18,25,13,20,13
+,18,25,7,24,16,17,18,15,23,16,19,21
,,,,,,,,,,,,
-,25,17,13,16,16,8,15,16,26,12,13,15
3o,15,17,22,20,9,2,12,19,13,12,15,13
+,24,17,23,10,5,5,8,8,14,11,15,10
,,,,,,,,,,,,
-,15,10,13,6,10,6,3,12,16,11,12,6
4o,5,4,19,6,2,2,5,3,14,6,3,5
+,4,6,12,6,1,.,6,11,4,8,4,2
,,,,,,,,,,,,
-,1,1,8,8,.,1,2,9,9,7,3,3
5o,,2,2,6,1,2,1,2,2,3,2,1
+,,,6,2,.,,3,2,6,2,.,
,,,,,,,,,,,,
-,,,2,2,1,,2,,2,2,2,
6o,,,.,,2,,1,,.,,.,
+,,,1,,.,,,,3,,2,
,,,,,,,,,,,,
-,,,,,.,,,,1,,,
7o,,,,,1,,,,.,,,
1,,,,,,,,,,,,
,,,,,,,,,,,,
-1,,,,,,,,,,,,
8o,,,,,,,,,1,,,
1,,,,,,,,,,,,
,,,,,,,,,,,,
-,,,,,,,,,,,,
9o,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,248,224,248,240,248,240,248,248,240,248,240,248
