,,,,Freq,uencies,of Kp,Indices,1993,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Kp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,,,,,,,,,,,
,,,,,,,,,,,,
0o,1,.,.,.,3,4,.,3,2,3,2,5
+,2,2,.,2,28,13,10,20,11,11,11,15
,,,,,,,,,,,,
-,9,17,6,12,27,23,34,30,20,20,25,10
1o,14,23,4,15,20,24,29,28,20,26,17,18
+,15,20,9,19,24,23,27,30,26,16,16,18
,,,,,,,,,,,,
-,9,14,13,29,19,27,24,30,28,28,25,26
2o,26,25,25,20,26,20,27,23,22,24,15,25
+,22,14,14,19,19,20,23,16,17,21,32,25
,,,,,,,,,,,,
-,21,13,17,22,13,20,25,16,21,15,21,18
3o,22,17,22,20,14,10,14,14,17,15,17,19
+,35,15,28,13,11,21,9,10,9,15,12,14
,,,,,,,,,,,,
-,23,18,19,15,8,6,6,4,9,7,10,13
4o,20,16,21,12,11,9,7,3,9,15,6,13
+,6,7,19,15,6,7,8,4,9,11,13,12
,,,,,,,,,,,,
-,9,11,17,6,4,2,1,2,1,8,4,5
5o,3,5,12,5,6,1,2,4,7,5,2,5
+,6,4,5,3,4,4,1,4,3,3,2,1
,,,,,,,,,,,,
-,2,1,8,6,3,4,.,1,5,1,2,1
6o,3,1,3,1,1,1,1,2,1,2,6,1
+,,.,2,2,1,.,,2,1,1,1,3
,,,,,,,,,,,,
-,,1,3,.,,.,,1,.,1,1,1
7o,,,.,2,,1,,1,.,,,
+,,,1,1,,,,,1,,,
,,,,,,,,,,,,
-,,,,1,,,,,1,,,
8o,,,,,,,,,,,,
+,,,,,,,,,,,,
,,,,,,,,,,,,
-,,,,,,,,,,,,
9o,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,248,224,248,240,248,240,248,248,240,248,240,248
