,,,,Freq,uencies,of Kp,Indices,2018,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Kp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,,,,,,,,,,,
,,,,,,,,,,,,
0o,30,29,16,23,14,8,10,3,8,31,41,29
+,36,40,28,26,46,39,43,26,24,42,46,33
,,,,,,,,,,,,
-,36,23,34,39,43,37,48,42,27,27,40,35
1o,34,20,30,25,31,47,45,30,22,28,29,20
+,23,24,26,37,24,23,30,35,24,23,19,20
,,,,,,,,,,,,
-,22,20,17,27,15,25,17,23,28,30,13,24
2o,21,13,19,21,15,10,21,23,30,18,14,29
+,13,20,17,8,12,11,8,17,18,8,7,14
,,,,,,,,,,,,
-,12,10,19,8,12,11,10,16,21,13,6,15
3o,11,8,15,9,9,5,5,8,12,9,6,19
+,3,4,5,4,8,5,4,5,5,3,6,4
,,,,,,,,,,,,
-,4,4,10,3,8,9,4,7,4,7,4,3
4o,2,5,6,3,4,5,1,3,6,2,2,2
+,.,2,5,3,4,1,1,1,5,3,2,1
,,,,,,,,,,,,
-,1,1,.,.,1,3,1,2,1,2,2,
5o,,.,.,1,.,1,,3,3,.,1,
+,,1,.,1,.,,,.,.,2,1,
,,,,,,,,,,,,
-,,,.,1,2,,,1,1,,1,
6o,,,1,1,,,,1,1,,,
+,,,,,,,,.,,,,
,,,,,,,,,,,,
-1,,,,,,,,,,,,
7o,,,,,,,,.,,,,
1,,,,,,,,,,,,
,,,,,,,,,,,,
-,,,,,,,,,,,,
8o,,,,,,,,,,,,
+,,,,,,,,,,,,
,,,,,,,,,,,,
-,,,,,,,,,,,,
9o,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,248,224,248,240,248,240,248,248,240,248,240,248
