,,,,Freq,uencies,of Kp,Indices,2000,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Kp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,,,,,,,,,,,
,,,,,,,,,,,,
0o,7,6,15,6,1,.,.,6,4,4,10,12
+,13,9,25,9,4,8,5,11,6,19,12,24
,,,,,,,,,,,,
-,17,17,25,15,9,17,13,16,13,15,20,33
1o,12,14,20,14,22,21,20,21,17,23,15,32
+,19,10,21,15,23,19,24,22,19,13,12,30
,,,,,,,,,,,,
-,18,13,31,31,27,21,30,24,26,27,24,22
2o,26,22,20,22,32,22,25,29,14,32,20,22
+,31,21,18,26,29,21,29,26,14,20,19,18
,,,,,,,,,,,,
-,15,19,12,21,23,22,14,16,24,19,18,16
3o,24,24,23,27,16,21,16,16,23,13,17,18
+,23,14,13,13,17,12,14,17,17,10,13,12
,,,,,,,,,,,,
-,13,17,12,12,12,15,11,7,18,6,12,3
4o,6,17,5,11,9,10,5,6,16,10,17,3
+,13,11,6,8,6,10,10,7,6,5,4,2
,,,,,,,,,,,,
-,2,9,2,2,5,7,10,4,3,5,4,.
5o,3,2,,1,4,4,3,7,7,8,4,.
+,4,2,,1,.,4,3,2,2,4,4,.
,,,,,,,,,,,,
-,1,1,,.,2,1,4,5,3,3,5,1
6o,.,3,,2,4,2,3,.,4,3,3,
+,1,.,,.,.,2,1,1,2,2,3,
,,,,,,,,,,,,
-,,1,,1,1,.,1,.,.,3,3,
7o,,,,.,.,1,1,.,.,.,1,
+,,,,.,.,,1,3,.,2,,
,,,,,,,,,,,,
-,,,,.,1,,1,2,1,2,,
8o,,,,.,1,,1,,.,,,
+,,,,2,,,.,,1,,,
,,,,,,,,,,,,
-,,,,1,,,2,,,,,
9o,,,,,,,1,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,248,232,248,240,248,240,248,248,240,248,240,248
