,,,,Freq,uencies,of Kp,Indices,2021,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Kp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,,,,,,,,,,,
,,,,,,,,,,,,
0o,58,22,13,13,20,13,6,12,14,26,17,21
+,56,12,28,25,43,47,44,40,25,33,32,35
,,,,,,,,,,,,
-,35,23,30,32,42,35,40,32,34,41,37,31
1o,26,19,13,37,42,36,40,37,30,22,23,25
+,17,18,25,20,31,35,33,41,29,24,19,23
,,,,,,,,,,,,
-,13,15,25,17,13,18,24,17,31,22,18,25
2o,9,24,16,18,22,16,16,16,23,19,15,24
+,11,18,19,13,9,15,21,22,19,19,18,25
,,,,,,,,,,,,
-,4,16,16,17,5,7,10,13,11,9,15,13
3o,5,17,16,16,7,8,7,4,9,7,15,12
+,5,5,14,11,2,2,2,3,5,9,12,5
,,,,,,,,,,,,
-,5,14,10,8,1,5,3,2,4,4,5,5
4o,3,15,7,2,4,2,1,6,4,6,6,3
+,.,5,6,6,3,.,1,1,.,1,.,.
,,,,,,,,,,,,
-,1,1,4,3,1,.,,1,.,3,1,.
5o,,,4,2,.,1,,1,1,1,.,1
+,,,.,,1,,,,1,.,1,
,,,,,,,,,,,,
-,,,2,,.,,,,,.,2,
6o,,,,,.,,,,,1,.,
+,,,,,.,,,,,1,2,
,,,,,,,,,,,,
-,,,,,1,,,,,,.,
7o,,,,,1,,,,,,1,
+,,,,,,,,,,,.,
,,,,,,,,,,,,
-1,,,,,,,,,,,,
8o,,,,,,,,,,,,
+,,,,,,,,,,,,
,,,,,,,,,,,,
-,,,,,,,,,,,,
9o,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,248,224,248,240,248,240,248,248,240,248,240,248
