,,,,Freq,uencies,of Kp,Indices,1995,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Kp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,,,,,,,,,,,
,,,,,,,,,,,,
0o,1,10,8,2,1,2,3,.,2,13,16,7
+,14,16,13,30,4,8,22,11,22,11,23,31
,,,,,,,,,,,,
-,28,9,20,16,13,24,38,31,29,19,36,35
1o,29,20,23,18,12,25,34,28,22,12,26,32
+,25,19,23,20,24,30,35,23,25,17,33,19
,,,,,,,,,,,,
-,13,13,14,16,27,35,37,33,21,20,12,21
2o,16,17,17,16,17,17,19,30,16,18,17,25
+,18,9,16,16,28,21,20,26,17,19,17,16
,,,,,,,,,,,,
-,20,15,16,18,19,18,12,13,12,17,15,20
3o,12,20,16,18,16,15,5,17,20,11,11,6
+,19,14,23,11,11,10,5,12,14,22,8,15
,,,,,,,,,,,,
-,12,13,14,9,11,10,5,9,11,15,9,3
4o,15,18,11,17,11,10,4,6,7,18,7,8
+,8,11,9,11,14,7,3,5,3,8,4,3
,,,,,,,,,,,,
-,5,7,13,9,11,4,1,2,6,13,5,3
5o,4,6,1,3,10,2,1,1,1,6,.,3
+,5,5,4,2,8,1,3,1,8,3,.,1
,,,,,,,,,,,,
-,.,2,3,2,7,1,.,,2,2,.,
6o,1,,3,2,2,,1,,.,.,.,
+,3,,1,1,2,,,,1,.,1,
,,,,,,,,,,,,
-,,,,.,,,,,.,4,,
7o,,,,1,,,,,1,,,
1,,,,,,,,,,,,
,,,,,,,,,,,,
-,,,,.,,,,,,,,
8o,,,,1,,,,,,,,
+,,,,,,,,,,,,
,,,,,,,,,,,,
-,,,,,,,,,,,,
9o,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,248,224,248,240,248,240,248,248,240,248,240,248
