,,,,Freq,uencies,of Kp,Indices,1998,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Kp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,,,,,,,,,,,
,,,,,,,,,,,,
0o,19,19,13,10,1,4,5,7,5,15,5,15
+,30,26,14,17,8,14,32,19,13,23,14,22
,,,,,,,,,,,,
-,34,28,24,28,14,25,24,20,30,17,21,33
1o,36,28,11,23,24,34,29,16,25,16,13,30
+,22,18,17,22,27,24,25,28,30,20,21,26
,,,,,,,,,,,,
-,27,26,23,29,18,25,22,17,27,17,23,22
2o,19,16,16,31,23,22,20,20,19,23,24,15
+,11,20,28,13,29,18,15,23,17,22,31,23
,,,,,,,,,,,,
-,13,10,23,20,18,22,16,15,25,16,14,18
3o,9,9,28,12,23,19,9,18,14,21,16,13
+,7,10,13,8,18,8,13,11,9,16,13,15
,,,,,,,,,,,,
-,7,2,12,3,9,10,7,16,7,8,9,4
4o,9,7,9,10,5,6,9,9,6,8,6,6
+,3,1,4,2,5,4,7,6,3,9,5,1
,,,,,,,,,,,,
-,.,.,4,6,4,2,5,3,1,5,3,3
5o,.,1,2,4,4,1,8,1,1,4,3,1
+,1,1,2,1,2,.,1,1,1,4,3,1
,,,,,,,,,,,,
-,.,1,1,1,2,.,.,4,1,1,7,
6o,.,.,2,,9,.,1,2,1,1,4,
+,1,.,1,,.,2,,3,1,1,1,
,,,,,,,,,,,,
-,,1,.,,3,,,4,.,1,2,
7o,,,.,,.,,,1,1,,.,
+,,,1,,.,,,1,.,,1,
,,,,,,,,,,,,
-,,,,,.,,,1,1,,1,
8o,,,,,.,,,2,1,,,
+,,,,,1,,,,1,,,
,,,,,,,,,,,,
-1,,,,,,,,,,,,
9o,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,248,224,248,240,248,240,248,248,240,248,240,248
