,,,,Freq,uencies,of Kp,Indices,2015,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Kp,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
,,,,,,,,,,,,
,,,,,,,,,,,,
0o,7,13,3,14,8,11,7,2,5,12,34,3
+,12,17,17,22,23,34,28,4,15,14,17,20
,,,,,,,,,,,,
-,15,16,9,22,31,19,30,15,14,17,14,17
1o,29,21,12,20,27,22,39,22,17,16,18,14
+,25,19,22,21,35,14,28,22,20,18,17,16
,,,,,,,,,,,,
-,29,25,26,21,33,15,22,26,23,22,14,16
2o,32,14,26,20,28,15,15,21,19,24,15,29
+,30,21,28,24,15,22,19,32,27,22,24,28
,,,,,,,,,,,,
-,17,23,18,18,12,27,16,29,23,25,10,22
3o,24,23,18,15,13,21,16,14,16,11,18,14
+,11,9,18,11,7,8,7,14,13,9,9,18
,,,,,,,,,,,,
-,7,8,16,7,4,9,5,9,11,20,15,21
4o,5,7,4,6,1,4,3,10,8,9,9,7
+,.,1,8,5,3,4,3,5,6,11,9,7
,,,,,,,,,,,,
-,1,1,8,6,1,1,3,10,5,6,6,2
5o,1,4,3,3,3,3,3,2,1,5,6,3
+,1,2,5,4,2,4,3,4,4,.,3,3
,,,,,,,,,,,,
-,.,,1,.,2,2,1,3,4,3,.,2
6o,1,,1,1,,1,,2,3,2,2,2
+,1,,1,,,1,,2,3,1,,2
,,,,,,,,,,,,
-,,,.,,,.,,,1,.,,2
7o,,,.,,,1,,,2,.,,
+,,,1,,,.,,,,1,,
,,,,,,,,,,,,
-,,,3,,,1,,,,,,
8o,,,,,,.,,,,,,
1,,,,,,,,,,,,
,,,,,,,,,,,,
-,,,,,,,,,,,,
9o,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,248,224,248,240,248,240,248,248,240,248,240,248
